ID_CLIENT;ID_CMDE;CODE_MAG;DT_CMDE;QTE_ART;MTT_REMISE;QT_UNIV1;CA_UNIV1;QT_UNIV2;CA_UNIV2;QT_UNIV3;CA_UNIV3;CA_UNIV5;QT_UNIV5;QT_UNIV4;CA_UNIV4;CA_TOTAL;TICKET;COLLECTION;CANAL_ACHAT;FLAG_SOLDE;QTART_SOLDE;CA_SOLDE;QTART_PROMO;CA_PROMO
0021000734;10032094;850;22/09/2012;2;0;;;1;45;;;109;1;;;154;1;AH;STORE;0;;;;
0021000791;10041998;37;01/03/2012;1;0;;;;;;;;;1;39;39;1;PE;STORE;0;;;;
0021000791;10109943;2;18/10/2012;1;0;1;45.5;;;;;;;;;45.5;1;AH;STORE;0;;;;
0021000937;10111401;2;08/11/2012;1;0;1;69;;;;;;;;;69;1;AH;STORE;0;;;;
0021001166;10095176;2;20/04/2012;1;10;1;55;;;;;;;;;55;1;PE;STORE;0;;;;
0021001241;10046331;37;03/07/2012;2;0;2;74.8;;;;;;;;;74.8;1;PE;STORE;1;;;;
0021001403;10056256;48;28/10/2013;1;0;;;;;;;;;1;27.3;27.3;1;AH;STORE;0;;;;
0021001403;10125135;2;27/04/2013;1;0;;;;;;;;;1;45;45;1;PE;STORE;0;;;;
0021001403;10125047;2;25/04/2013;1;0;;;;;1;55;;;;;55;1;PE;STORE;0;;;;
0021001403;10123111;2;15/03/2013;1;12;;;1;27;;;;;;;27;1;PE;STORE;0;;;;
0021001403;10097515;2;31/05/2012;1;0;;;1;55;;;;;;;55;1;PE;STORE;0;;;;
0021001403;10046828;48;16/01/2013;1;0;;;;;;;;;;;79.9;1;AH;STORE;1;;;;
0021001403;10039776;37;17/01/2012;2;5;2;45;;;;;;;;;45;1;AH;STORE;1;;;;
0021001403;10038884;48;21/06/2012;2;25.7;;;2;48.3;;;;;;;48.3;1;PE;STORE;0;;;;
0021001403;10053179;48;11/07/2013;1;0;;;;;;;;;1;64.5;64.5;1;PE;STORE;1;;;;
0021001403;10036053;48;29/02/2012;1;5.85;;;;;;;;;1;33.15;33.15;1;AH;STORE;1;;;;
0021001765;310271914;821;07/07/2013;5;168.8;;;3;51.1;1;25.5;;;;;104.2;1;PE;WEB;1;;;;
0021001765;20007385;2;19/01/2013;1;0;;;;;;;;;;;49.9;1;AH;STORE;1;;;;
0021001765;10061923;29;12/05/2012;1;0;;;;;;;;;;;69;1;PE;STORE;0;;;;
0021002064;310130532;821;19/05/2013;1;29.7;;;;;;;69.3;1;;;69.3;1;PE;WEB;0;;;;
0021002064;10062332;37;04/07/2013;4;0;2;59;2;29.7;;;;;;;88.7;1;PE;STORE;1;;;;
0021002064;10059172;37;02/04/2013;1;0;;;;;;;99;1;;;99;1;PE;STORE;0;;;;
0021002064;10057326;48;02/12/2013;1;0;1;89;;;;;;;;;89;1;AH;STORE;0;;;;
0021002064;10056373;48;31/10/2013;1;0;1;69;;;;;;;;;69;1;AH;STORE;0;;;;
0021002064;10048034;48;01/02/2013;1;0;;;;;;;;;;;69;1;AH;STORE;1;;;;
0021002064;10043872;48;05/11/2012;1;23.7;1;55.3;;;;;;;;;55.3;1;AH;STORE;0;;;;
0021002064;10043206;48;18/10/2012;1;0;;;;;;;;;;;154;1;AH;STORE;0;;;;
0021002064;10043013;48;08/10/2012;0;0;0;36;;;;;;;;;36;0;AH;STORE;0;;;;
0021002064;10042854;48;01/10/2012;1;24;1;35;;;;;;;;;35;1;AH;STORE;0;;;;
0021002064;10042853;48;01/10/2012;0;19.2;0;-19.2;;;;;;;;;-19.2;0;AH;STORE;0;;;;
0021002064;10042852;48;01/10/2012;2;24;2;120;;;;;;;;;120;1;AH;STORE;0;;;;
0021002064;10041931;48;22/08/2012;2;21.85;;;1;28;;;84.15;1;;;112.15;1;AH;STORE;0;;;;
0021002064;10038339;48;31/05/2012;5;64.5;;;4;109.2;;;;;;;150.5;1;PE;STORE;0;;;;
0021002064;10037825;48;09/05/2012;1;10.35;;;;;;;;;;;58.65;1;PE;STORE;0;;;;
0021002064;10037824;48;09/05/2012;1;8;;;;;1;51;;;;;51;1;PE;STORE;0;;;;
0021002064;10032891;48;04/01/2012;2;82;1;32.5;;;;;49.5;1;;;82;1;AH;STORE;0;;;;
0021002064;10002566;889;03/05/2012;1;7;;;1;28;;;;;;;28;1;PE;STORE;0;;;;
0021002195;10089731;20;02/11/2013;1;0;;;1;27.3;;;;;;;27.3;1;AH;STORE;0;;;;
0021002195;10026999;60;14/08/2012;3;0;;;;;1;19.9;;;1;39;123.9;1;AH;STORE;0;;;;
0021007526;10132259;2;19/07/2013;2;6.72;;;;;;;;;;;60.48;1;PE;STORE;1;;;;
0021007526;10124213;2;06/04/2013;1;0;;;;;;;;;1;139;139;1;PE;STORE;0;;;;
0021007526;10120732;2;07/02/2013;2;11.96;2;47.84;;;;;;;;;47.84;1;AH;STORE;1;;;;
0021007526;10117801;2;17/01/2013;1;0;1;29.9;;;;;;;;;29.9;1;AH;STORE;1;;;;
0021007526;10101136;2;05/07/2012;1;7;;;1;22.9;;;;;;;22.9;1;PE;STORE;1;;;;
0021007526;10101135;2;05/07/2012;3;21;3;83.7;;;;;;;;;83.7;1;PE;STORE;1;;;;
0021007535;10140074;2;07/12/2013;1;0;1;59;;;;;;;;;59;1;AH;STORE;0;;;;
0021007535;10108328;2;22/09/2012;1;0;1;65;;;;;;;;;65;1;AH;STORE;0;;;;
0021007535;10066913;37;30/11/2013;2;33;;;;;;;;;1;24.5;77;1;AH;STORE;0;;;;
0021007585;10108231;2;22/09/2012;2;12;;;1;43.85;;;;;;;102;1;AH;STORE;0;;;;
0021007585;10105630;2;07/08/2012;2;0;1;29.9;;;;;39.9;1;;;69.8;1;AH;STORE;0;;;;
0021007585;10098987;2;23/06/2012;1;0;;;;;;;99;1;;;99;1;PE;STORE;0;;;;
0021007585;10030665;840;02/11/2013;1;0;1;85;;;;;;;;;85;1;AH;STORE;0;;;;
0021007694;10101953;2;11/07/2012;1;0;;;1;34.9;;;;;;;34.9;1;PE;STORE;1;;;;
0021007889;310014201;821;13/01/2013;2;54.2;;;1;19.9;1;29.9;;;;;49.8;1;AH;WEB;1;;;;
0021007889;10116654;2;12/01/2013;1;0;1;39.9;;;;;;;;;39.9;1;AH;STORE;1;;;;
0021007889;10104692;2;28/07/2012;2;0;1;14.9;;;1;14.9;;;;;29.8;1;PE;STORE;1;;;;
0021007896;10114504;2;22/12/2012;1;0;;;;;;;;;1;55;55;1;AH;STORE;0;;;;
0021007896;10097353;2;26/05/2012;1;0;;;1;39;;;;;;;39;1;PE;STORE;0;;;;
0021007896;10092430;2;07/03/2012;1;0;;;;;;;;;;;69;1;PE;STORE;0;;;;
0021008290;310114862;821;15/05/2013;1;66;;;;;;;;;;;154;1;PE;WEB;0;;;;
0021008290;10117669;2;17/01/2013;1;0;1;29.9;;;;;;;;;29.9;1;AH;STORE;1;;;;
0021008290;10034636;815;15/02/2013;6;17.48;1;23.92;4;35.68;;;;;1;10.32;69.92;1;AH;STORE;1;;;;
0021008290;10031175;815;13/09/2012;2;39;2;91;;;;;;;;;91;1;AH;STORE;0;;;;
0021008290;10034376;851;16/02/2013;2;3.96;;;2;15.84;;;;;;;15.84;1;AH;STORE;1;;;;
0021008290;10026973;851;30/06/2012;1;7.99;1;26.91;;;;;;;;;26.91;1;PE;STORE;1;;;;
0021008311;10039133;48;27/06/2012;1;8.99;;;;;;;80.91;1;;;80.91;1;PE;STORE;1;;;;
0021008311;10013559;927;07/07/2012;2;0;2;70.9;;;;;;;;;70.9;1;PE;STORE;1;;;;
0021008582;10085938;3;28/08/2013;1;0;;;;;;;;;;;24.9;1;AH;STORE;0;;;;
0021008691;10035943;949;13/04/2013;1;19.5;1;45.5;;;;;;;;;45.5;1;PE;STORE;0;;;;
0021008691;10027670;949;23/06/2012;2;31.5;;;2;58.5;;;;;;;58.5;1;PE;STORE;0;;;;
0021008771;10091507;2;22/02/2012;1;40;1;25;;;;;;;;;25;1;AH;STORE;1;;;;
0021008771;10059521;37;15/04/2013;1;0;1;75;;;;;;;;;75;1;PE;STORE;0;;;;
0021008771;10032224;40;22/07/2013;1;0;;;1;12.5;;;;;;;12.5;1;PE;STORE;1;;;;
0021008771;10007644;889;12/01/2013;1;0;1;49.9;;;;;;;;;49.9;1;AH;STORE;1;;;;
0021008771;10004473;889;21/07/2012;1;24.9;;;;;;;35;1;;;35;1;PE;STORE;1;;;;
0021008771;10001000;889;18/01/2012;2;0;;;;;;;;;2;41;41;1;AH;STORE;1;;;;
0021008771;10000841;889;11/01/2012;1;0;;;;;;;;;;;49;1;AH;STORE;1;;;;
0021008831;10146352;28;06/09/2012;1;0;1;69;;;;;;;;;69;1;AH;STORE;0;;;;
0021008831;10123510;2;22/03/2013;1;0;;;;;;;;;1;39;39;1;PE;STORE;0;;;;
0021008831;10041573;37;15/02/2012;1;35.85;;;;;;;;;1;203.15;203.15;1;AH;STORE;1;;;;
0021008941;10125215;2;27/04/2013;6;12;;;5;193.71;1;56.29;;;;;250;1;PE;STORE;0;;;;
0021008941;10121643;2;15/02/2013;0;0;;;;;;;30;0;;;30;0;AH;STORE;1;;;;
0021008941;10121641;2;15/02/2013;1;0;;;;;;;109;1;;;109;1;AH;STORE;1;;;;
0021008941;10114161;2;19/12/2012;2;0;1;59;;;;;;;;;138;1;AH;STORE;0;;;;
0021008950;10140233;2;08/12/2013;1;11.7;;;;;;;;;1;27.3;27.3;1;AH;STORE;0;;;;
0021008950;10067535;37;14/12/2013;1;0;1;69;;;;;;;;;69;1;AH;STORE;0;;;;
0021009385;10124355;2;10/04/2013;1;0;;;;;;;;;1;49;49;1;PE;STORE;0;;;;
0021009875;10049157;48;16/03/2013;4;0;1;59;2;54;;;;;;;192;1;PE;STORE;0;;;;
0021009882;20007063;2;10/01/2013;1;0;;;1;19.9;;;;;;;19.9;1;AH;STORE;1;;;;
0021009882;10135273;2;29/08/2013;1;24;1;45;;;;;;;;;45;1;AH;STORE;0;;;;
0021009882;10126587;2;25/05/2013;1;0;;;1;39;;;;;;;39;1;PE;STORE;0;;;;
0021009882;10126053;2;15/05/2013;1;0;1;59;;;;;;;;;59;1;PE;STORE;0;;;;
0021009882;10122163;2;25/02/2013;1;12;1;47;;;;;;;;;47;1;PE;STORE;0;;;;
0021009882;10112493;2;28/11/2012;2;12;2;101.3;;;;;;;;;101.3;1;AH;STORE;0;;;;
0021009882;10106911;2;01/09/2012;3;31.15;2;83.2;;;1;58.65;;;;;141.85;1;AH;STORE;0;;;;
0021009882;10095695;2;30/04/2012;1;13.8;1;55.2;;;;;;;;;55.2;1;PE;STORE;0;;;;
0021009882;10093689;2;24/03/2012;1;0;1;45.5;;;;;;;;;45.5;1;PE;STORE;0;;;;
0021009882;10090938;2;14/02/2012;1;0;1;65;;;;;;;;;65;1;AH;STORE;1;;;;
0021009882;10060097;37;08/05/2013;2;45;;;;;;;99;1;1;0;99;1;PE;STORE;0;;;;
0021009882;10051593;37;01/11/2012;1;0;1;65;;;;;;;;;65;1;AH;STORE;0;;;;
0021009882;10045837;37;28/06/2012;1;3.49;1;31.41;;;;;;;;;31.41;1;PE;STORE;1;;;;
0021009882;10014332;839;07/08/2012;4;0;;;;;1;14.9;29.9;1;2;20.8;65.6;1;AH;STORE;0;;;;
0021009882;10012575;839;24/04/2012;1;11;1;44;;;;;;;;;44;1;PE;STORE;0;;;;
0021009882;10012571;839;23/04/2012;1;12;1;43;;;;;;;;;43;1;PE;STORE;0;;;;
0021009882;10009119;889;13/04/2013;1;0;1;65;;;;;;;;;65;1;PE;STORE;0;;;;
0021009968;10116157;2;10/01/2013;8;0;6;239.4;;;;;;;;;344.2;1;AH;STORE;1;;;;
0021009968;10092081;2;02/03/2012;1;0;1;65;;;;;;;;;65;1;PE;STORE;0;;;;
0021010127;10065929;37;25/10/2013;2;0;2;89.6;;;;;;;;;89.6;1;AH;STORE;0;;;;
0021010127;10051406;37;27/10/2012;3;0;2;86.8;1;34.3;;;;;;;121.1;1;AH;STORE;0;;;;
0021010412;10108568;2;27/09/2012;1;35.7;;;;;;;83.3;1;;;83.3;1;AH;STORE;0;;;;
0021010412;10091071;2;16/02/2012;1;0;;;;;;;;;;;65;1;AH;STORE;1;;;;
0021010437;10045327;37;20/06/2012;2;50.3;;;;;;;62.3;1;;;97.7;1;PE;STORE;0;;;;
0021010446;10110551;2;29/10/2012;1;0;;;;;;;;;;;250;1;AH;STORE;0;;;;
0021010446;10108252;2;22/09/2012;1;0;1;65;;;;;;;;;65;1;AH;STORE;0;;;;
0021010446;10097947;2;07/06/2012;1;11.7;;;1;27.3;;;;;;;27.3;1;PE;STORE;0;;;;
0021010446;10094849;2;14/04/2012;1;10.5;;;1;24.5;;;;;;;24.5;1;PE;STORE;0;;;;
0021010446;10086827;2;17/01/2012;2;5;2;45;;;;;;;;;45;1;AH;STORE;1;;;;
0021010446;10015469;927;29/10/2012;1;0;1;69;;;;;;;;;69;1;AH;STORE;0;;;;
0021010516;10065715;37;17/10/2013;2;0;1;129;;;;;;;;;204;1;AH;STORE;0;;;;
0021010575;20179160;150;14/09/2012;1;0;;;;;;;;;1;29;29;1;AH;STORE;0;;;;
0021010575;10154215;28;20/12/2012;1;12;;;;;;;;;1;27;27;1;AH;STORE;0;;;;
0021010575;10104352;2;25/07/2012;1;0;;;;;1;29.9;;;;;29.9;1;PE;STORE;1;;;;
0021010575;10066186;150;13/09/2012;3;0;1;39;1;35;;;;;;;133;1;AH;STORE;0;;;;
0021010575;10060837;15;14/06/2013;1;72;;;;;;;;;;;168;1;PE;STORE;0;;;;
0021010718;10117539;2;16/01/2013;1;0;;;;;;;29.9;1;;;29.9;1;AH;STORE;1;;;;
0021010718;10004676;892;29/09/2012;1;13.5;;;1;31.5;;;;;;;31.5;1;AH;STORE;0;;;;
0021010718;10002384;892;16/03/2012;2;12;1;68.75;;;1;63.25;;;;;132;1;PE;STORE;0;;;;
0021010729;10120047;2;02/02/2013;1;0;;;;;;;;;;;39.9;1;AH;STORE;1;;;;
0021010729;10120046;2;02/02/2013;1;0;;;1;9.9;;;;;;;9.9;1;AH;STORE;1;;;;
0021010729;10092414;2;07/03/2012;2;9.75;2;70.25;;;;;;;;;70.25;1;PE;STORE;0;;;;
0021010729;10092413;2;07/03/2012;1;24;;;1;15;;;;;;;15;1;PE;STORE;0;;;;
0021010785;310015555;821;17/01/2013;1;69.1;;;;;;;;;;;79.9;1;AH;WEB;1;;;;
0021010935;10095154;2;20/04/2012;1;0;;;;;;;;;1;39;39;1;PE;STORE;0;;;;
0021011001;20003780;26;19/11/2012;1;0;;;;;;;;;;;149;1;AH;STORE;0;;;;
0021011001;10127315;2;12/06/2013;1;26.7;;;;;1;62.3;;;;;62.3;1;PE;STORE;0;;;;
0021011001;10122913;2;11/03/2013;1;12;;;1;27;;;;;;;27;1;PE;STORE;0;;;;
0021011001;10120583;2;07/02/2013;1;7.98;1;31.92;;;;;;;;;31.92;1;AH;STORE;1;;;;
0021011001;10119849;2;01/02/2013;1;0;1;29.9;;;;;;;;;29.9;1;AH;STORE;1;;;;
0021011001;10068228;26;13/12/2012;2;28.2;;;;;;;;;2;65.8;65.8;1;AH;STORE;0;;;;
0021011001;10042438;850;22/11/2013;1;0;;;1;59;;;;;;;59;1;AH;STORE;0;;;;
0021011001;10041778;850;12/10/2013;2;0;;;;;;;;;1;49;168;1;AH;STORE;0;;;;
0021011001;10041204;37;08/02/2012;2;0;1;39;;;;;;;1;15;54;1;AH;STORE;1;;;;
0021011026;10135196;2;28/08/2013;1;0;1;24.9;;;;;;;;;24.9;1;AH;STORE;0;;;;
0021011026;10117890;2;18/01/2013;1;41.7;;;;;;;;;;;97.3;1;AH;STORE;1;;;;
0021011146;10060356;37;17/05/2013;3;38.7;;;;;;;90.3;1;1;0;219.3;1;PE;STORE;0;;;;
0021011311;10098354;2;13/06/2012;3;8.7;;;3;55.3;;;;;;;55.3;1;PE;STORE;0;;;;
0021011313;10113454;2;12/12/2012;1;0;1;79;;;;;;;;;79;1;AH;STORE;0;;;;
0021011313;10097576;2;31/05/2012;1;0;;;;;1;49;;;;;49;1;PE;STORE;0;;;;
0021011343;20005440;2;14/01/2012;2;4.2;1;19.8;1;18;;;;;;;37.8;1;AH;STORE;1;;;;
0021011343;10139263;2;23/11/2013;1;0;;;;;;;;;;;69;1;AH;STORE;0;;;;
0021011343;10127068;2;06/06/2013;1;0;1;59;;;;;;;;;59;1;PE;STORE;0;;;;
0021011343;10112847;2;02/12/2012;3;0;;;1;31.5;;;;;;;159;1;AH;STORE;0;;;;
0021011343;10112336;2;24/11/2012;1;0;1;52.5;;;;;;;;;52.5;1;AH;STORE;0;;;;
0021011343;10098177;2;09/06/2012;1;14.7;;;1;34.3;;;;;;;34.3;1;PE;STORE;0;;;;
0021011476;10091199;2;18/02/2012;2;7.6;1;15.2;1;15.2;;;;;;;30.4;1;AH;STORE;1;;;;
0021011476;10035045;65;16/11/2013;1;0;;;;;;;;;;;119;1;AH;STORE;0;;;;
0021011476;10026906;65;02/03/2013;1;12;1;57;;;;;;;;;57;1;PE;STORE;0;;;;
0021011476;10021913;65;24/11/2012;1;0;;;;;;;109;1;;;109;1;AH;STORE;0;;;;
0021011476;10013413;65;31/03/2012;2;0;1;41.3;;;1;41.3;;;;;82.6;1;PE;STORE;0;;;;
0021011562;10092092;2;02/03/2012;1;20;;;;;;;;;1;0;0;1;PE;STORE;0;;;;
0021011566;10109056;2;02/10/2012;4;78.6;4;183.4;;;;;;;;;183.4;1;AH;STORE;0;;;;
0021011566;10107339;2;07/09/2012;2;5.85;;;1;33.15;1;19.9;;;;;53.05;1;AH;STORE;0;;;;
0021011566;10094771;2;13/04/2012;4;76.8;1;48.3;2;54.6;;;;;;;179.2;1;PE;STORE;0;;;;
0021011566;10092108;2;02/03/2012;2;0;1;65;;;;;89;1;;;154;1;PE;STORE;0;;;;
0021011605;10092418;2;07/03/2012;1;0;;;1;49;;;;;;;49;1;PE;STORE;0;;;;
0021011679;10121957;2;20/02/2013;1;0;;;;;;;;;;;139;1;PE;STORE;0;;;;
0021011679;10093023;2;16/03/2012;-1;0;;;;;;;;;;;-119;-1;PE;STORE;0;;;;
0021011679;10134603;2;14/08/2013;1;0;;;1;19;;;;;;;19;1;AH;STORE;0;;;;
0021011679;10092904;2;14/03/2012;1;0;;;;;;;;;;;119;1;PE;STORE;0;;;;
0021011679;10127647;2;18/06/2013;1;19.5;1;45.5;;;;;;;;;45.5;1;PE;STORE;0;;;;
0021011748;10046253;37;02/07/2012;1;7;1;22.9;;;;;;;;;22.9;1;PE;STORE;1;;;;
0021011748;10093401;2;22/03/2012;1;0;1;55;;;;;;;;;55;1;PE;STORE;0;;;;
0021011812;10094037;2;31/03/2012;1;0;;;;;;;;;;;167.3;1;PE;STORE;0;;;;
0021011817;10094092;2;31/03/2012;1;0;;;;;;;;;;;55.3;1;PE;STORE;0;;;;
0021011823;10094133;2;31/03/2012;3;0;1;65;2;44.8;;;;;;;109.8;1;PE;STORE;0;;;;
0021011844;10094239;2;03/04/2012;4;0;2;128;;;;;89;1;;;286;1;PE;STORE;0;;;;
0021011972;10094984;2;16/04/2012;1;0;;;1;45;;;;;;;45;1;PE;STORE;0;;;;
0021011987;10095032;2;17/04/2012;1;10;;;;;1;45;;;;;45;1;PE;STORE;0;;;;
0021011987;10141044;2;20/12/2013;1;0;1;95;;;;;;;;;95;1;AH;STORE;0;;;;
0021012034;10095327;2;23/04/2012;4;0;;;2;80;;;;;;;218;1;PE;STORE;0;;;;
0021012104;10096204;2;08/05/2012;1;0;;;;;;;99;1;;;99;1;PE;STORE;0;;;;
0021012104;10073203;32;22/09/2012;1;0;;;;;;;;;;;69;1;AH;STORE;0;;;;
0021012104;10017057;64;29/06/2012;1;8.49;;;1;31.41;;;;;;;31.41;1;PE;STORE;1;;;;
0021012121;10126477;2;23/05/2013;2;0;1;75;;;;;;;1;0;75;1;PE;STORE;0;;;;
0021012121;10096344;2;11/05/2012;1;0;1;65;;;;;;;;;65;1;PE;STORE;0;;;;
0021012121;10102739;2;16/07/2012;2;0;2;64.8;;;;;;;;;64.8;1;PE;STORE;1;;;;
0021012212;10096854;2;19/05/2012;1;0;;;;;;;;;;;49;1;PE;STORE;0;;;;
0021012212;10029934;834;29/09/2012;1;20.7;1;48.3;;;;;;;;;48.3;1;AH;STORE;0;;;;
0021012218;10109859;2;17/10/2012;1;0;;;;;;;;;;;59;1;AH;STORE;0;;;;
0021012218;10122180;2;26/02/2013;2;21.6;1;55.25;;;;;;;;;122.4;1;PE;STORE;0;;;;
0021012218;10022837;927;15/12/2013;1;0;1;65;;;;;;;;;65;1;AH;STORE;0;;;;
0021012218;10139108;2;21/11/2013;1;0;1;59;;;;;;;;;59;1;AH;STORE;0;;;;
0021012218;10096903;2;19/05/2012;1;0;1;41.3;;;;;;;;;41.3;1;PE;STORE;0;;;;
0021012223;10096932;2;19/05/2012;1;0;;;;;;;79;1;;;79;1;PE;STORE;0;;;;
0021012225;10096945;2;19/05/2012;1;0;;;;;;;;;;;119;1;PE;STORE;0;;;;
0021012225;310009261;821;15/12/2012;1;0;1;69;;;;;;;;;69;1;AH;WEB;0;;;;
0021012257;10097051;2;22/05/2012;1;0;1;45.5;;;;;;;;;45.5;1;PE;STORE;0;;;;
0021012282;10113464;2;12/12/2012;1;0;;;;;;;129;1;;;129;1;AH;STORE;0;;;;
0021012282;10097161;2;24/05/2012;1;0;1;59;;;;;;;;;59;1;PE;STORE;0;;;;
0021012296;10097243;2;25/05/2012;1;0;;;;;;;;;;;52.5;1;PE;STORE;0;;;;
0021012436;10098471;2;14/06/2012;1;0;;;;;1;59;;;;;59;1;PE;STORE;0;;;;
0021012503;10112067;2;21/11/2012;3;19;2;138;1;0;;;;;;;138;1;AH;STORE;0;;;;
0021012503;10101002;2;05/07/2012;2;0;;;2;59.8;;;;;;;59.8;1;PE;STORE;1;;;;
0021012503;10100905;2;04/07/2012;5;0;2;69.8;1;19.9;;;;;;;234.5;1;PE;STORE;1;;;;
0021012503;10131594;2;16/07/2013;1;0;;;;;1;34.5;;;;;34.5;1;PE;STORE;1;;;;
0021012504;10140124;28;10/07/2012;1;0;;;;;;;39.9;1;;;39.9;1;PE;STORE;1;;;;
0021012504;10100937;2;04/07/2012;2;5;1;29.9;;;;;79.9;1;;;109.8;1;PE;STORE;1;;;;
0021012540;10102571;2;14/07/2012;4;20.92;2;35.84;1;15.92;;;;;;;83.68;1;PE;STORE;1;;;;
0021012667;10111056;2;05/11/2012;1;23.7;1;55.3;;;;;;;;;55.3;1;AH;STORE;0;;;;
0021012667;10105558;2;06/08/2012;1;0;1;19.9;;;;;;;;;19.9;1;AH;STORE;0;;;;
0021012731;10105904;2;14/08/2012;1;0;1;29.9;;;;;;;;;29.9;1;AH;STORE;0;;;;
0021012790;10106086;2;20/08/2012;1;0;;;;;1;69;;;;;69;1;AH;STORE;0;;;;
0021012803;10106176;2;21/08/2012;1;0;1;65;;;;;;;;;65;1;AH;STORE;0;;;;
0021012831;10106344;2;24/08/2012;2;0;;;1;35;;;;;;;94;1;AH;STORE;0;;;;
0021012951;20006449;2;13/09/2012;3;62.1;3;144.9;;;;;;;;;144.9;1;AH;STORE;0;;;;
0021012951;10116483;2;11/01/2013;2;0;;;;;;;;;;;79.8;1;AH;STORE;1;;;;
0021012951;10108090;2;19/09/2012;1;15;;;;;;;;;;;50;1;AH;STORE;0;;;;
0021012951;10107188;2;05/09/2012;1;0;1;24.9;;;;;;;;;24.9;1;AH;STORE;0;;;;
0021013022;10132482;2;20/07/2013;4;15.6;;;3;34.8;;;;;;;62.4;1;PE;STORE;1;;;;
0021013022;10129149;2;30/06/2013;1;0;1;24.5;;;;;;;;;24.5;1;PE;STORE;1;;;;
0021013022;10121135;2;09/02/2013;1;9.98;;;;;;;;;;;39.92;1;AH;STORE;1;;;;
0021013022;10107611;2;12/09/2012;3;0;1;65;1;49;;;;;;;189;1;AH;STORE;0;;;;
0021013140;10108362;2;24/09/2012;1;0;;;;;;;;;;;119;1;AH;STORE;0;;;;
0021013266;10109913;2;18/10/2012;2;0;1;65;;;;;;;;;134;1;AH;STORE;0;;;;
0021013266;10109608;2;12/10/2012;4;0;;;2;98;;;;;;;236;1;AH;STORE;0;;;;
0021013316;10127297;2;12/06/2013;1;20.7;;;;;;;;;;;48.3;1;PE;STORE;0;;;;
0021013316;10111754;2;14/11/2012;1;0;;;;;;;109;1;;;109;1;AH;STORE;0;;;;
0021013316;10109867;2;17/10/2012;2;0;1;79;;;;;;;;;208;1;AH;STORE;0;;;;
0021013373;10141151;2;21/12/2013;3;39;1;55.2;;;;;;;2;58.8;114;1;AH;STORE;0;;;;
0021013373;10139669;2;30/11/2013;1;20.7;1;48.3;;;;;;;;;48.3;1;AH;STORE;0;;;;
0021013373;10110190;2;23/10/2012;2;0;1;45.5;1;34.3;;;;;;;79.8;1;AH;STORE;0;;;;
