ID_CLIENT;CIVILITE;DATE_NAIS;DATE_CREATION;CODE_POSTAL;FLAG_EMAIL;FLAG_MOBILE;NB_ENFANT;OPTIN_EMAIL;OPTIN_SMS;FLAG_ADRESSE;NPAI_ADRESSE
0021002195;3;;12/11/2009;75010;0;1;;;;;
0021002221;2;;17/11/2009;33000;0;0;;;;;
0021002228;2;07/07/1979;19/11/2009;33370;1;1;;;;;
0021007164;2;;21/11/2009;.;0;0;;;;;
0021007360;2;;28/01/2010;.;0;0;;;;;
0021007446;2;;23/02/2010;.;0;1;;;;;
0021007526;2;;05/03/2010;33000;1;1;;;;;
0021007535;2;;06/03/2010;33200;0;1;;;;;
0021007585;2;;13/03/2010;33400;0;1;;;;;
0021007625;2;07/08/1971;19/03/2010;93260;1;1;;;;;
0021007694;2;;24/03/2010;33110;0;1;;;;;
0021007697;2;;24/03/2010;33800;0;0;;;;;
0021007889;3;22/09/1989;15/04/2010;33000;1;0;;;;;
0021007896;3;;17/04/2010;33200;0;1;;;;;
0021007906;2;;17/04/2010;47310;0;1;;;;;
0021007919;3;;20/04/2010;33000;0;1;;;;;
0021008043;2;;06/05/2010;.;0;1;;;;;
0021008181;3;;18/05/2010;33000;0;1;;;;;
0021008266;2;;25/05/2010;33160;0;1;;;;;
0021008290;2;;27/05/2010;79000;1;0;;;;;
0021008311;2;;29/05/2010;33400;0;1;;;;;
0021008364;2;;03/06/2010;33000;0;1;;;;;
0021008582;2;;21/08/2010;.;0;0;;;;;
0021008667;2;;02/09/2010;.;0;0;;;;;
0021008691;3;;08/09/2010;33000;1;1;;;;;
0021008734;2;;15/09/2010;33000;0;1;;;;;
0021008771;3;;22/09/2010;33260;0;1;;;;;
0021008831;3;;01/10/2010;33000;1;1;;;;;
0021008889;2;;09/10/2010;33160;0;1;;;;;
0021008941;2;;19/10/2010;33110;0;1;;;;;
0021008950;2;;20/10/2010;33200;1;1;;;;;
0021008965;2;;22/10/2010;33320;0;0;;;;;
0021009031;2;;27/10/2010;33210;0;0;;;;;
0021009130;2;;10/11/2010;75012;1;0;;;;;
0021009230;2;;24/11/2010;33120;0;1;;;;;
0021009336;2;;15/12/2010;33620;0;1;;;;;
0021009385;2;;22/12/2010;33520;1;1;;;;;
0021009624;2;;19/03/2011;33100;0;1;;;;;
0021009681;2;;28/03/2011;33000;0;0;;;;;
0021009875;2;;23/04/2011;33240;0;1;;;;;
0021009882;3;;26/04/2011;33700;1;1;;;;;
0021009919;2;;02/05/2011;33810;1;1;;;;;
0021009934;2;;04/05/2011;.;0;1;;;;;
0021009968;2;;07/05/2011;33520;1;0;;;;;
0021010001;2;;11/05/2011;33100;1;1;;;;;
0021010086;2;;21/05/2011;33600;1;1;;;;;
0021010127;3;;26/05/2011;33160;1;1;;;;;
0021010290;2;;25/06/2011;33127;0;1;;;;;
0021010393;2;;12/08/2011;33000;0;1;;;;;
0021010412;2;;18/08/2011;33800;1;1;;;;;
0021010430;2;;23/08/2011;64000;0;1;;;;;
0021010436;2;;24/08/2011;33970;1;0;;;;;
0021010437;2;;24/08/2011;33850;1;1;;;;;
0021010446;2;;25/08/2011;33185;0;1;;;;;
0021010516;2;;05/09/2011;33000;1;1;;;;;
0021010519;2;;05/09/2011;33000;1;1;;;;;
0021010542;2;;08/09/2011;33700;0;1;;;;;
0021010575;2;;12/09/2011;92190;0;1;;;;;
0021010701;2;;01/10/2011;92110;0;1;;;;;
0021010711;2;;01/10/2011;17000;0;1;;;;;
0021010718;2;;04/10/2011;32700;0;1;;;;;
0021010729;2;;05/10/2011;17500;1;0;;;;;
0021010785;2;;12/10/2011;33200;1;0;;;;;
0021010896;2;;26/10/2011;64530;0;1;;;;;
0021010925;2;;28/10/2011;33000;0;1;;;;;
0021010935;2;;29/10/2011;.;1;0;;;;;
0021010968;2;;31/10/2011;36260;0;1;;;;;
0021010978;2;;01/11/2011;33000;1;1;;;;;
0021011001;2;;04/11/2011;33290;1;1;;;;;
0021011026;2;;08/11/2011;33800;1;0;;;;;
0021011031;2;;09/11/2011;40230;0;0;;;;;
0021011146;2;;25/11/2011;33141;1;0;;;;;
0021011162;3;;25/11/2011;33000;1;0;;;;;
0021011241;2;;05/12/2011;33890;0;0;;;;;
0021011282;2;;10/12/2011;33000;1;1;;;;;
0021011311;2;;13/12/2011;24750;0;1;;;;;
0021011313;2;;14/12/2011;33200;1;1;;;;;
0021011343;2;;17/12/2011;33000;1;1;;;;;
0021011476;3;;18/02/2012;37700;1;0;;;;;
0021011562;2;;02/03/2012;33000;0;1;;;;;
0021011566;2;;02/03/2012;33081;1;1;;;;;
0021011605;2;;07/03/2012;33110;0;1;;;;;
0021011679;2;24/07/1941;14/03/2012;33400;1;1;;;;;
0021011748;2;;22/03/2012;33700;0;1;;;;;
0021011812;2;;31/03/2012;33800;1;1;;;;;
0021011817;2;;31/03/2012;33310;0;0;;;;;
0021011823;2;;31/03/2012;33390;1;0;;;;;
0021011844;2;;03/04/2012;32100;1;0;;;;;
0021011972;3;;16/04/2012;33600;1;0;;;;;
0021011987;2;;17/04/2012;33600;1;1;;;;;
0021012034;2;;23/04/2012;33800;1;1;;;;;
0021012104;2;;08/05/2012;75014;0;1;;;;;
0021012121;2;;11/05/2012;33450;1;1;;;;;
0021012212;2;;19/05/2012;33240;0;0;;;;;
0021012218;2;;19/05/2012;33750;1;1;;;;;
0021012223;2;;19/05/2012;40000;0;1;;;;;
0021012225;2;;19/05/2012;33200;1;0;;;;;
0021012257;2;;22/05/2012;33000;1;1;;;;;
0021012282;2;;24/05/2012;40800;0;1;;;;;
0021012296;2;;25/05/2012;33000;0;1;;;;;
0021012436;2;;14/06/2012;33160;1;1;;;;;
0021012503;2;;04/07/2012;33200;0;1;;;;;
0021012504;2;;04/07/2012;33200;0;0;;;;;
0021012540;2;;14/07/2012;33400;0;1;;;;;
0021012667;2;;06/08/2012;33000;0;1;;;;;
0021012731;2;;14/08/2012;33000;0;1;;;;;
0021012790;2;;20/08/2012;37000;1;1;;;;;
0021012803;2;;21/08/2012;33160;1;1;;;;;
0021012831;2;;24/08/2012;33670;0;1;;;;;
0021012951;2;;05/09/2012;33000;1;1;;;;;
0021013022;2;;12/09/2012;33000;0;1;;;;;
0021013140;2;;24/09/2012;33340;1;1;;;;;
0021013266;2;;12/10/2012;33000;1;1;;;;;
0021013316;2;;17/10/2012;33200;0;1;;;;;
0021013373;3;;23/10/2012;33600;1;1;;;;;
0021013397;2;;25/10/2012;33200;0;1;;;;;
0021013436;2;;27/10/2012;24000;0;1;;;;;
0021013454;2;;29/10/2012;33500;1;1;;;;;
0021013600;2;;10/11/2012;33500;1;1;;;;;
0021013669;2;;17/11/2012;33000;1;1;;;;;
0021013674;2;;17/11/2012;33200;0;1;;;;;
0021013676;2;;17/11/2012;17630;0;1;;;;;
0021013751;2;;27/11/2012;33680;0;1;;;;;
0021013815;2;;01/12/2012;33000;1;1;;;;;
0021013830;2;;01/12/2012;33000;0;1;;;;;
0021013853;2;;03/12/2012;33000;1;1;;;;;
0021013890;2;;06/12/2012;33000;1;1;;;;;
0021013903;2;;07/12/2012;33000;0;1;;;;;
0021013981;2;;13/12/2012;33500;1;1;;;;;
0021014032;2;;16/12/2012;33520;0;1;;;;;
0021014040;2;;17/12/2012;33000;0;1;;;;;
0021014043;2;;17/12/2012;33160;0;1;;;;;
0021014050;2;;18/12/2012;33360;0;1;;;;;
0021014079;3;;20/12/2012;74350;1;0;;;;;
0021014099;2;;21/12/2012;34070;1;0;;;;;
0021014111;2;;22/12/2012;33510;0;1;;;;;
0021014163;2;;26/12/2012;33240;0;1;;;;;
0021014174;2;;28/12/2012;33000;0;1;;;;;
0021014242;2;;21/01/2013;33000;1;0;;;;;
0021014249;2;;21/01/2013;33340;0;1;;;;;
0021014632;2;;30/03/2013;33550;1;0;;;;;
0021014681;2;;06/04/2013;33000;1;0;;;;;
0021014705;2;;09/04/2013;33200;1;1;;;;;
0021014839;2;;04/05/2013;33600;1;1;;;;;
0021015162;2;;22/06/2013;33480;1;0;;;;;
0021015221;2;;16/08/2013;53200;1;0;;;;;
0021015231;2;;19/08/2013;91720;1;0;;;;;
0021015285;2;;31/08/2013;33000;1;1;;;;;
0021015346;2;;11/09/2013;64700;1;1;;;;;
0021015405;2;;21/09/2013;33100;1;1;;;;;
0021015486;2;;07/10/2013;47300;1;1;;;;;
0021015574;2;;19/10/2013;33000;1;0;;;;;
0021015591;2;;22/10/2013;33800;1;1;;;;;
0021015745;2;;09/11/2013;33200;1;0;;;;;
0021015777;2;;12/11/2013;33130;1;1;;;;;
0021015898;2;;23/11/2013;33300;1;0;;;;;
0021015972;2;;02/12/2013;24150;1;1;;;;;
0021016135;2;;19/12/2013;33200;1;0;;;;;
0021016212;2;;27/12/2013;33000;1;0;;;;;
0022000026;2;;17/04/2010;33410;1;1;;;;;
0030094043;2;;05/12/2007;95130;0;0;;;;;
0030336865;2;;04/12/2008;67120;0;0;;;;;
0030336923;2;;18/12/2008;57000;0;0;;;;;
0030336934;2;;22/12/2008;67550;1;0;;;;;
0030336954;1;07/10/1989;23/12/2008;67000;1;1;;;;;
0030343524;3;10/01/1990;30/01/2009;67000;1;1;;;;;
0030343615;2;;14/02/2009;67200;0;0;;;;;
0030343659;2;;23/02/2009;67800;0;1;;;;;
0030343666;2;;24/02/2009;67207;0;1;;;;;
0030343668;3;;24/02/2009;75012;1;1;;;;;
0030343675;2;;25/02/2009;67400;1;0;;;;;
0030357803;3;;14/03/2009;67000;1;1;;;;;
0030357806;1;;16/03/2009;67000;0;1;;;;;
0030357819;2;30/08/1966;19/03/2009;59240;0;1;;;;;
0030357833;2;;21/03/2009;67200;0;0;;;;;
0030357851;1;03/01/1979;26/03/2009;67200;1;1;;;;;
0030357880;2;10/11/1967;31/03/2009;67000;0;1;;;;;
0030358106;2;08/10/1961;18/05/2009;67450;1;0;;;;;
0030358151;1;;23/05/2009;67200;0;1;;;;;
0030358166;3;;27/05/2009;67100;0;0;;;;;
0031000053;2;12/03/1936;05/06/2009;67210;0;0;;;;;
0031000060;2;08/06/1971;06/06/2009;67730;1;1;;;;;
0031000064;2;26/04/1978;06/06/2009;.;0;1;;;;;
0031000100;2;24/12/1982;09/06/2009;67000;0;1;;;;;
0031000344;2;09/04/1975;24/06/2009;67170;0;1;;;;;
0031000399;2;;17/07/2009;75020;0;1;;;;;
0031000437;2;25/07/1991;25/07/2009;67610;0;1;;;;;
0031000438;2;;28/07/2009;.;0;0;;;;;
0031000541;2;18/07/1981;21/08/2009;67200;1;0;;;;;
0031000556;2;19/01/1986;11/09/2009;67000;0;1;;;;;
0031000566;2;07/01/1991;12/09/2009;91120;1;1;;;;;
0031000682;2;13/01/1977;26/09/2009;44000;1;0;;;;;
0031000741;2;11/12/1968;07/10/2009;67270;0;1;;;;;
0031000794;3;;15/10/2009;33000;0;1;;;;;
0031001075;2;13/02/1969;27/11/2009;67202;1;0;;;;;
0031001093;3;;28/11/2009;57350;1;0;;;;;
0031001176;2;;10/12/2009;67000;0;0;;;;;
0031001276;2;06/05/1990;23/12/2009;67207;0;1;;;;;
0031001337;3;;22/01/2010;67640;1;0;;;;;
0031001345;3;;22/01/2010;67000;0;1;;;;;
0031001368;3;;26/01/2010;67840;1;0;;;;;
0031001398;3;;29/01/2010;67000;1;0;;;;;
0031001460;2;15/01/1976;03/02/2010;68093;0;1;;;;;
0031001505;3;;06/02/2010;77360;1;0;;;;;
0031001633;2;08/03/1984;02/03/2010;67000;0;1;;;;;
0031001640;2;16/07/1972;03/03/2010;67500;0;0;;;;;
0031001644;2;;03/03/2010;67000;0;0;;;;;
0031001657;2;;05/03/2010;67460;0;0;;;;;
0031001860;2;;06/04/2010;25500;0;1;;;;;
0031001875;2;15/01/1973;08/04/2010;67000;0;1;;;;;
0031001933;2;;15/04/2010;67720;0;1;;;;;
0031002062;2;02/10/1976;05/05/2010;67000;1;0;;;;;
0031002182;3;;21/05/2010;67000;1;0;;;;;
0031002238;3;;28/05/2010;67980;1;1;;;;;
0031002241;2;05/07/1990;29/05/2010;57600;1;1;;;;;
0031002269;2;21/04/1975;01/06/2010;67300;0;1;;;;;
0031002293;3;;04/06/2010;68120;1;0;;;;;
0031002301;2;06/11/1976;05/06/2010;69003;0;1;;;;;
0031002325;2;25/01/1954;10/06/2010;54260;0;0;;;;;
0031002337;2;30/01/1957;11/06/2010;67000;1;1;;;;;
0031002360;2;;14/06/2010;67370;0;0;;;;;
0031002409;2;;21/06/2010;67200;0;0;;;;;
0031002411;2;22/09/1992;22/06/2010;67400;1;1;;;;;
0031002782;2;22/08/1991;07/09/2010;67000;0;1;;;;;
0031002818;2;28/08/1992;11/09/2010;67270;1;0;;;;;
0031002854;2;21/09/1963;18/09/2010;67270;1;0;;;;;
0031003050;2;03/03/1959;14/10/2010;67000;1;0;;;;;
0031003092;2;06/09/1984;21/10/2010;75012;0;1;;;;;
0031003175;2;01/02/1958;30/10/2010;67450;1;1;;;;;
0031003212;2;19/06/1985;05/11/2010;69560;1;0;;;;;
0031003217;2;;08/11/2010;67000;0;0;;;;;
0031003221;2;;08/11/2010;67400;1;0;;;;;
0031003229;2;;10/11/2010;67100;1;0;;;;;
0031003306;2;28/10/1960;24/11/2010;67000;0;1;;;;;
0031003312;2;22/05/1962;25/11/2010;67370;1;1;;;;;
0031003371;2;12/12/1980;07/12/2010;67000;1;1;;;;;
0031003572;3;;03/02/2011;67000;0;1;;;;;
0031003588;2;10/07/1965;04/02/2011;67400;0;1;;;;;
0031003600;2;;08/02/2011;92290;1;0;;;;;
0031003634;2;;10/02/2011;67000;0;1;;;;;
0031003645;2;27/06/1965;11/02/2011;67300;0;1;;;;;
0031003787;2;;12/03/2011;67610;0;0;;;;;
0031003789;2;02/03/1959;12/03/2011;67370;0;0;;;;;
0031003796;3;;14/03/2011;67084;0;1;;;;;
0031003915;3;;08/04/2011;67000;1;0;;;;;
0031003949;2;;14/04/2011;94300;0;1;;;;;
0031003972;2;22/08/1993;18/04/2011;67000;0;0;;;;;
0031004232;2;16/02/1991;18/06/2011;75013;1;0;;;;;
0031004250;2;;05/07/2011;67350;0;1;;;;;
0031004276;2;26/09/1972;08/07/2011;97419;0;0;;;;;
0031004292;2;20/01/1984;13/07/2011;67640;0;1;;;;;
0031004352;2;;23/07/2011;67370;1;0;;;;;
0031004438;2;;27/08/2011;50170;0;0;;;;;
0031004609;2;;06/10/2011;67100;0;0;;;;;
0031004625;2;11/07/1990;11/10/2011;67000;1;0;;;;;
0031004663;2;;19/10/2011;67300;1;0;;;;;
0031004776;2;;08/11/2011;91510;0;0;;;;;
0031004812;2;07/07/1989;12/11/2011;67000;0;1;;;;;
0031004842;2;16/03/1948;22/11/2011;57000;1;0;;;;;
0031004874;2;19/03/1981;29/11/2011;67000;0;0;;;;;
0031004912;2;;08/12/2011;67100;1;1;;;;;
0031004931;3;12/08/1991;10/12/2011;67000;0;1;;;;;
0031005079;2;09/03/1981;04/02/2012;67100;1;1;;;;;
0031005204;2;18/06/1955;29/02/2012;67450;1;0;;;;;
0031005254;2;;10/03/2012;67118;1;0;;;;;
0031005263;2;07/06/1977;10/03/2012;75018;0;1;;;;;
0031005309;2;12/02/1955;23/03/2012;67000;1;0;;;;;
0031005321;3;17/10/1995;24/03/2012;67000;1;1;;;;;
0031005356;2;;30/03/2012;67000;0;1;;;;;
0031005362;2;21/11/1983;30/03/2012;67000;0;1;;;;;
0031005412;2;;10/04/2012;67000;0;1;;;;;
0031005430;3;23/11/1993;14/04/2012;67000;1;0;;;;;
0031005431;2;23/09/1988;14/04/2012;67000;1;1;;;;;
0031005468;2;31/03/1993;19/04/2012;68500;1;0;;;;;
0031005492;2;03/10/1962;24/04/2012;67000;0;1;;;;;
0031005569;2;25/12/1988;07/05/2012;67000;0;0;;;;;
0031005618;2;14/08/1986;17/05/2012;67000;0;0;;;;;
0031005631;2;23/04/1945;19/05/2012;38390;1;0;;;;;
0031005634;2;;19/05/2012;75015;1;0;;;;;
0031005697;2;18/11/1986;26/05/2012;67000;0;1;;;;;
0031005731;2;25/08/1976;04/06/2012;67440;0;0;;;;;
0031005733;2;;05/06/2012;67500;0;0;;;;;
0031005836;2;23/01/1980;28/06/2012;67100;1;0;;;;;
0031005851;2;30/10/1985;29/06/2012;67206;0;0;;;;;
0031005983;2;;13/07/2012;67207;0;1;;;;;
0031006098;2;;24/07/2012;67300;0;1;;;;;
0031006267;2;18/08/1976;18/08/2012;67202;0;1;;;;;
0031006298;2;;28/08/2012;67000;0;0;;;;;
0031006426;2;10/06/1963;22/09/2012;67000;0;1;;;;;
0031006483;2;;29/09/2012;67000;1;1;;;;;
0031006518;2;;06/10/2012;67000;0;0;;;;;
0031006521;2;25/07/1991;06/10/2012;67000;1;0;;;;;
0031006635;2;27/09/1990;22/10/2012;67000;0;0;;;;;
0031006783;2;;08/11/2012;67300;0;0;;;;;
0031006787;2;;10/11/2012;67200;1;0;;;;;
0031006882;2;11/02/1978;26/11/2012;95150;0;0;;;;;
0031006910;2;25/12/1992;01/12/2012;77210;1;0;;;;;
0031006924;2;;05/12/2012;76890;0;0;;;;;
0031006938;2;;08/12/2012;67470;1;0;;;;;
0031006944;2;;08/12/2012;68000;0;0;;;;;
0031007016;2;20/03/1987;16/12/2012;38280;0;0;;;;;
0031007049;2;;22/12/2012;67000;1;0;;;;;
0031007093;2;;29/12/2012;.;0;1;;;;;
0031007096;2;;31/12/2012;75012;1;0;;;;;
0031007108;2;08/03/1967;03/01/2013;67870;0;0;;;;;
0031007139;2;;17/01/2013;67000;1;0;;;;;
0031007464;2;;07/03/2013;67000;1;0;;;;;
0031007562;2;;05/04/2013;67200;0;0;;;;;
0031007613;2;;16/04/2013;67000;1;0;;;;;
0031007713;2;;11/05/2013;67810;1;0;;;;;
0031007775;2;;25/05/2013;67170;1;0;;;;;
0031007781;2;27/05/1998;27/05/2013;67000;0;0;;;;;
0031007809;2;;01/06/2013;25300;1;0;;;;;
0031007892;2;26/03/1990;22/06/2013;67000;1;0;;;;;
0031008062;2;;31/08/2013;67000;1;0;;;;;
0031008096;2;;10/09/2013;67620;1;0;;;;;
0031008114;2;07/01/1990;14/09/2013;67000;1;0;;;;;
0031008132;2;14/12/1995;20/09/2013;68220;0;0;;;;;
0031008178;2;;05/10/2013;67206;1;0;;;;;
0031008370;2;;13/11/2013;67000;1;0;;;;;
0031008378;2;21/09/1960;14/11/2013;67000;0;1;;;;;
0031008440;2;04/06/1985;28/11/2013;67113;1;0;;;;;
0031008475;2;;03/12/2013;68150;1;0;;;;;
0031008491;2;23/06/1964;06/12/2013;67116;0;0;;;;;
0031008497;2;02/07/1995;06/12/2013;67000;1;0;;;;;
0031008620;2;;24/12/2013;67000;1;0;;;;;
0031008636;2;15/01/1996;06/01/2014;67550;1;0;;;;;
0040336987;2;20/11/1971;04/12/2008;74000;1;0;;;;;
0040337016;1;25/04/1983;13/12/2008;74000;0;1;;;;;
0040337020;2;08/01/1969;13/12/2008;74540;1;0;;;;;
0040355444;2;;21/01/2009;74940;0;0;;;;;
0040355446;2;;21/01/2009;74350;0;0;;;;;
0040355705;2;05/10/1963;21/02/2009;74000;0;0;;;;;
0040355730;1;18/11/1987;26/02/2009;74000;0;1;;;;;
0040357702;2;08/11/1961;18/03/2009;74350;0;1;;;;;
0040358073;2;08/11/1949;13/05/2009;73520;0;1;;;;;
0040358155;3;;27/05/2009;74000;0;0;;;;;
0040358257;2;09/10/1948;17/06/2009;74320;1;0;;;;;
0040358343;3;25/02/1992;07/07/2009;74940;1;1;;;;;
0040358356;3;03/08/1990;08/07/2009;74200;1;0;;;;;
0040358444;2;;21/07/2009;73100;1;0;;;;;
0040358468;3;16/10/1991;28/07/2009;25000;1;1;;;;;
0040358563;2;10/01/1953;21/08/2009;74000;1;0;;;;;
0040358593;2;16/05/1981;26/08/2009;38930;0;0;;;;;
0040358620;3;09/10/1969;29/08/2009;74940;1;0;;;;;
0040358631;2;;02/09/2009;74290;0;1;;;;;
0040358651;2;11/10/1977;05/09/2009;01206;1;0;;;;;
0040358685;2;05/02/1968;12/09/2009;74960;1;1;;;;;
0040358744;2;;29/09/2009;74000;0;1;;;;;
0040358753;2;24/01/1974;02/10/2009;74000;0;0;;;;;
0041000004;2;28/06/1956;10/10/2009;74000;0;1;;;;;
0041000100;2;;02/11/2009;74300;0;1;;;;;
0041000110;2;;05/11/2009;74700;1;1;;;;;
0041000160;2;;21/11/2009;74650;0;0;;;;;
0041000194;2;30/01/1961;28/11/2009;74800;1;0;;;;;
0041000227;3;13/12/1991;05/12/2009;01220;0;0;;;;;
0041000258;2;;14/12/2009;74350;1;0;;;;;
0041000342;2;;13/01/2010;01300;0;1;;;;;
0041000430;3;24/08/1991;22/01/2010;74000;1;1;;;;;
0041000438;3;03/07/1988;23/01/2010;74000;1;0;;;;;
0041000670;2;21/04/1967;03/04/2010;74540;1;0;;;;;
0041000688;2;;10/04/2010;74540;0;1;;;;;
0041000748;3;18/05/1966;24/04/2010;74940;1;1;;;;;
0041000763;2;;30/04/2010;74370;0;1;;;;;
0041000852;2;27/10/1967;05/06/2010;74600;0;1;;;;;
0041000856;3;06/08/1982;09/06/2010;74370;1;1;;;;;
0041000864;2;01/03/1976;10/06/2010;74700;0;1;;;;;
0041000928;2;10/07/1960;23/06/2010;74940;0;0;;;;;
0041001011;3;24/04/1977;16/07/2010;74000;0;0;;;;;
0041001127;2;;29/07/2010;74320;1;1;;;;;
0041001194;3;15/06/1990;06/08/2010;74200;1;0;;;;;
0041001267;2;01/02/1965;27/08/2010;74700;1;1;;;;;
0041001323;2;11/07/1992;18/09/2010;73100;0;1;;;;;
0041001338;2;;20/09/2010;74130;0;0;;;;;
0041001388;2;21/04/1983;02/10/2010;74000;1;0;;;;;
0041001399;3;;06/10/2010;74150;0;1;;;;;
0041001407;2;01/09/1994;12/10/2010;74000;1;0;;;;;
0041001462;2;;29/10/2010;74960;0;1;;;;;
0041001671;2;31/03/1953;21/01/2011;74410;0;0;;;;;
0041001700;3;;25/01/2011;74000;1;1;;;;;
0041001770;2;;10/02/2011;75007;0;0;;;;;
0041001821;2;;26/02/2011;73000;1;1;;;;;
0041001955;3;15/07/1987;08/04/2011;74150;1;1;;;;;
0041001977;2;;15/04/2011;74940;0;0;;;;;
0041002024;3;25/07/1989;02/05/2011;38100;1;0;;;;;
0041002042;2;;06/05/2011;73700;1;1;;;;;
0041002101;2;28/04/1971;28/05/2011;74000;1;1;;;;;
0041002248;2;;08/07/2011;75013;0;1;;;;;
0041002257;3;;09/07/2011;74000;0;1;;;;;
0041002411;2;;11/08/2011;74320;0;1;;;;;
0041002418;3;11/08/1992;16/08/2011;74200;1;0;;;;;
0041002469;2;;31/08/2011;74600;0;1;;;;;
0041002518;2;;22/09/2011;74400;0;1;;;;;
0041002586;2;;17/10/2011;74370;1;0;;;;;
0041002588;2;07/01/1979;18/10/2011;73100;1;0;;;;;
0041002830;2;;30/12/2011;74940;0;1;;;;;
0041002873;2;;21/01/2012;38000;0;1;;;;;
0041002900;2;16/06/1975;02/02/2012;74330;1;0;;;;;
0041002924;2;;23/02/2012;74200;0;1;;;;;
0041002931;2;;25/02/2012;74940;0;1;;;;;
0041002969;2;;06/03/2012;74940;0;1;;;;;
0041003021;2;;22/03/2012;74190;0;1;;;;;
0041003022;3;;22/03/2012;74160;1;1;;;;;
0041003145;3;;27/04/2012;92500;1;1;;;;;
0041003180;2;;05/05/2012;74000;1;0;;;;;
0041003189;2;;11/05/2012;74150;1;1;;;;;
0041003214;2;;18/05/2012;60610;1;1;;;;;
0041003224;2;;19/05/2012;74000;0;1;;;;;
0041003236;2;25/08/1959;22/05/2012;74940;0;1;;;;;
0041003283;2;;04/06/2012;74600;0;1;;;;;
0041003304;2;03/01/1984;09/06/2012;74000;1;0;;;;;
0041003323;2;25/09/1991;15/06/2012;74000;0;1;;;;;
0041003331;2;25/12/1991;16/06/2012;74500;1;0;;;;;
0041003364;2;27/07/1970;04/07/2012;74000;0;1;;;;;
0041003476;2;;19/07/2012;74000;0;1;;;;;
0041003482;2;14/06/1982;21/07/2012;69008;1;0;;;;;
0041003527;2;23/02/1980;27/07/2012;74130;0;0;;;;;
0041003585;2;25/07/1962;07/08/2012;74290;0;1;;;;;
0041003628;3;04/07/1975;21/08/2012;74000;0;0;;;;;
0041003790;2;;29/09/2012;01100;1;1;;;;;
0041003801;2;;05/10/2012;74000;0;0;;;;;
0041003804;2;24/07/1973;05/10/2012;74910;1;0;;;;;
0041003827;3;08/11/1982;12/10/2012;74000;1;1;;;;;
0041003919;2;;31/10/2012;74350;1;1;;;;;
0041003967;2;;09/11/2012;74940;0;1;;;;;
0041004006;3;20/03/1970;17/11/2012;74000;1;0;;;;;
0041004206;2;;09/01/2013;74370;0;1;;;;;
0041004279;3;04/10/1987;05/03/2013;74000;1;1;;;;;
